"";"data_pesquisa";"fonte";"tipo";"titulo";"autores";"macroamb";"revista";"lang_pt";"lang_es";"lang_en";"year";"url";"Citacao";"aborda_governanca";"governanca_e";"bibtex"
"1";2020-11-13;"Scielo, Periódicos Capes, Scopus, Google Scholar";"Artigo Científico";"Indústria e serviços na Macrometrópole Paulista: para a caracterização produtiva de um amplo espaço econômico";"Abdal, Alexandre";NA;"Nova Economia";TRUE;FALSE;FALSE;2010;"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512010000200002&lang=pt";NA;"F";NA;NA
"2";2020-11-20;"Google Scholar";"Artigo Científico";"A importância da Macrometrópole Paulista como escala de planejamento de infraestruturas de circulação e de transporte";"Asquino, Marcelo Sacenco;";NA;"Revista Brasileira de Estudos Urbanos e Regionais";TRUE;FALSE;FALSE;2010;"http://rbeur.anpur.org.br/rbeur/article/view/233";NA;"F";NA;NA
"3";2020-11-20;"Google Scholar";"Artigo Científico";"Análise estratégica do relevo e planejamento territorial urbano: compartimentos ambientais estruturantes na macrometrópole de São Paulo";"José Guilherme Schutzer";NA;"Revista LABVERDE";TRUE;FALSE;FALSE;2012;"http://www.periodicos.usp.br/revistalabverde/article/view/61502";NA;"F";NA;NA
"4";2020-11-13;"Scielo, Periódicos Capes, Google Scholar";"Artigo Científico";"A mobilidade pendular na Macrometrópole Paulista: diferenciação e complementaridade socioespacial";"Cunha, José Marcos Pinto da, Stoco, Sergio, Dota, Ednelson Mariano, Negreiros, Rovena, Miranda, Zoraide Amarante Itapura de";NA;"Cadernos Metrópole";TRUE;FALSE;FALSE;2013;"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-99962013000200433&lang=pt";NA;"F";NA;NA
"5";2020-11-13;"Periódicos Capes, Scopus, Google Scholar";"Artigo Científico";"São Paulo, city-region: constitution and development dynamics of the São Paulo macrometropolis";"Gerardo Silva, Maria de Lourdes Fonseca";NA;"International Journal of Urban Sustainable Development";FALSE;FALSE;TRUE;2013;"https://www.tandfonline.com/doi/full/10.1080/19463138.2013.782707";NA;"T";"apenas governança";NA
"6";2020-11-13;"Scielo, Periódicos Capes, Scopus, Google Scholar";"Artigo Científico";"Crise hídrica na Macrometrópole Paulista e respostas da sociedade civil";"Jacobi, Pedro Roberto, Cibim, Juliana, Leão, Renata de Souza";"VERDADEIRO";"Estudos Avançados";TRUE;FALSE;FALSE;2015;"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200027&lang=pt";NA;"T";"água, participativa, ambiental";"@jacobiCriseHidricaNa2015"
"7";2020-11-20;"Google Scholar";"Artigo Científico";"Nova escala de planejamento, investimento e governança: na macrometrópole paulista";"Negreiros, Rovena; Santos, Sarah Maria Monteiro dos; Miranda, Zoraide Amarante Itapura de;";NA;"Revista Iberoamericana de Urbanismo (RIURB)";TRUE;FALSE;FALSE;2015;"https://upcommons.upc.edu/handle/2117/85698";NA;"T";"metropolitana";"@negreirosNovaEscalaPlanejamento2015"
"8";2020-11-20;"Google Scholar";"Artigo Científico";"São Paulo e suas escalas de urbanização: cidade, metrópole e macrometrópole";"Meyer, Regina M. Prosperi;  Galvão, Roberta Fontan Pereira; Longo, Marlon Rubio";NA;"Revista Iberoamericana de Urbanismo (RIURB)";TRUE;FALSE;FALSE;2015;"https://upcommons.upc.edu/handle/2117/85631";NA;"F";NA;NA
"9";2020-11-20;"Google Scholar";"Artigo Científico";"Águas e saneamento na macrometrópole paulista: o desafio da integração de escopos";"Silva, Ricardo Toledo";NA;"Revista Iberoamericana de Urbanismo (RIURB)";TRUE;FALSE;FALSE;2015;"https://upcommons.upc.edu/handle/2117/85700";NA;"F";NA;NA
"10";2020-11-13;"Scielo, Periódicos Capes, Google Scholar";"Artigo Científico";"Gestão ambiental e sustentabilidade na macrometrópole paulista - Bacia do Rio Paraíba do Sul";"Demanboro, Antonio Carlos";NA;"Sociedade & Natureza";TRUE;FALSE;NA;2015;"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-45132015000300515&lang=pt";NA;"F";NA;NA
