ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
S1414-753X2020000100805-scl,WATER GOVERNANCE IN VALE DO PARAÍBA PAULISTA: NETWORK OF ACTORS AND SOCIOECOLOGICAL SYSTEMS,"MARQUES, ALEXANDRE R., TONIOLO, MARIA ANGÉLICA, LAHSEN, MYANNA, PULICE, SERGIO, BRANCO, EVANDRO ALBIACH, ALVES, DIÓGENES SALAS",Ambiente &amp; Sociedade; 23(); -,Ambiente &amp; Sociedade,"Português, Inglês",2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2020000100805&lang=pt 
S1414-753X2020000100802-scl,THE FORMATION OF MACROMETROPOLIS IN BRAZIL: URBANIZATION PROCESS AND THE CONSTRUCTION OF A VICTORIOUS REGION,"TAVARES, JEFERSON",Ambiente &amp; Sociedade; 23(); -,Ambiente &amp; Sociedade,"Português, Inglês",2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2020000100802&lang=pt 
S1414-753X2020000100806-scl,ARE WE MISSING THE BIGGER PICTURE? AN ANALYSIS OF HOW SCIENCE CAN CONTRIBUTE TO AN ECOSYSTEM-BASED APPROACH FOR BEACH MANAGEMENT ON THE SÃO PAULO MACROMETROPOLIS,"XAVIER, LUCIANA YOKOYAMA, GONÇALVES, LEANDRA REGINA, CHECON, HELIO HERMÍNIO, CORTE, GUILHERME, TURRA, ALEXANDER",Ambiente &amp; Sociedade; 23(); -,Ambiente &amp; Sociedade,"Português, Inglês",2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2020000100806&lang=pt 
S1414-753X2020000100803-scl,"CONFLICTS, VULNERABLE AREAS AND SUSTAINABILITY IN SÃO PAULO MACROMETROPOLIS","ALVIM, ANGÉLICA TANUS BENATTI, RUBIO, VIVIANE MANZIONE, BÓGUS, LUCIA MARIA MACHADO",Ambiente &amp; Sociedade; 23(); -,Ambiente &amp; Sociedade,"Português, Inglês",2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2020000100803&lang=pt 
S1414-753X2020000100202-scl,SPECIAL ISSUE SÃO PAULO MACROMETROPOLIS ENVIRONMENTAL GOVERNANCE FORUM,"TORRES, PEDRO HENRIQUE CAMPELLO, JACOBI, PEDRO ROBERTO",Ambiente &amp; Sociedade; 23(); -,Ambiente &amp; Sociedade,"Espanhol, Português, Inglês",2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2020000100202&lang=pt 
S1414-753X2020000100801-scl,WASTE ELECTRICAL AND ELECTRONIC EQUIPMENT IN MACROMETRÓPOLE PAULISTA: LEGAL FRAMEWORK AND TECHNOLOGY AT THE SERVICE OF REVERSE LOGISTICS,"SANTOS, KAUÊ LOPES DOS",Ambiente &amp; Sociedade; 23(); -,Ambiente &amp; Sociedade,"Português, Inglês",2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2020000100801&lang=pt 
S0102-30982020000100154-scl,"Uma periferia, dois centros: o município de Praia Grande no contexto da formação da macrometrópole paulista no começo do século XXI","Cunha, José Marcos Pinto da, Farias, Luiz Antonio Chaves de, Jakob, Alberto Augusto Eichman",Revista Brasileira de Estudos de População; 37(); -,Revista Brasileira de Estudos de População,Português,2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982020000100154&lang=pt 
S1414-753X2020000100313-scl,HETEROGENEITY AND SPATIAL FRAGMENTATION IN THE SAO PAULO MACROMETROPOLIS: THE PRODUCTION OF BORDERS AND HOLES,"TRAVASSOS, LUCIANA RODRIGUES FAGNONI COSTA, ZIONI, SILVANA MARIA, TORRES, PEDRO HENRIQUE CAMPELLO, FERNANDES, BRUNA DE SOUZA, ARAUJO, GABRIEL MACHADO",Ambiente &amp; Sociedade; 23(); -,Ambiente &amp; Sociedade,"Português, Inglês",2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2020000100313&lang=pt 
S2236-99962020000200397-scl,Vulnerabilidade e a construção social do risco: uma contribuição para o planejamento na macrometrópole paulista,"Canil, Kátia, Lampis, Andrea, Santos, Kauê Lopes dos",Cadernos Metrópole; 22(48); 397-416,Cadernos Metrópole,Português,2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-99962020000200397&lang=pt 
S2236-99962020000200499-scl,Tramas do planejamento e governança na transformação de rios em metrópoles globais: uma reflexão sobre casos internacionais e em curso na Macrometrópole Paulista (Brasil),"Momm, Sandra, Kinjo, Victor, Frey, Klaus",Cadernos Metrópole; 22(48); 499-525,Cadernos Metrópole,Português,2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-99962020000200499&lang=pt 
